date,entity,value,volume
2024-01-30,segment_a,0.119,4200
2024-01-30,segment_b,0.106,3100
2024-01-30,segment_c,0.132,2600
2024-01-31,segment_a,0.117,4200
2024-01-31,segment_b,0.104,3100
2024-01-31,segment_c,0.13,2600
2024-02-01,segment_a,0.115,4200
2024-02-01,segment_b,0.102,3100
2024-02-01,segment_c,0.128,2600
2024-02-02,segment_a,0.113,4200
2024-02-02,segment_b,0.1,3100
2024-02-02,segment_c,0.126,2600
2024-02-03,segment_a,0.111,4200
2024-02-03,segment_b,0.098,3100
2024-02-03,segment_c,0.124,2600
2024-02-04,segment_a,0.109,4200
2024-02-04,segment_b,0.096,3100
2024-02-04,segment_c,0.122,2600
2024-02-05,segment_a,0.121,4200
2024-02-05,segment_b,0.108,3100
2024-02-05,segment_c,0.134,2600
2024-02-06,segment_a,0.119,4200
2024-02-06,segment_b,0.106,3100
2024-02-06,segment_c,0.132,2600
2024-02-07,segment_a,0.117,4200
2024-02-07,segment_b,0.104,3100
2024-02-07,segment_c,0.13,2600
2024-02-08,segment_a,0.115,4200
2024-02-08,segment_b,0.102,3100
2024-02-08,segment_c,0.128,2600
2024-02-09,segment_a,0.113,4200
2024-02-09,segment_b,0.1,3100
2024-02-09,segment_c,0.126,2600
2024-02-10,segment_a,0.111,4200
2024-02-10,segment_b,0.098,3100
2024-02-10,segment_c,0.124,2600
2024-02-11,segment_a,0.109,4200
2024-02-11,segment_b,0.096,3100
2024-02-11,segment_c,0.122,2600
2024-02-12,segment_a,0.121,4200
2024-02-12,segment_b,0.108,3100
2024-02-12,segment_c,0.134,2600
2024-02-13,segment_a,0.119,4200
2024-02-13,segment_b,0.106,3100
2024-02-13,segment_c,0.132,2600
2024-02-14,segment_a,0.117,4200
2024-02-14,segment_b,0.104,3100
2024-02-14,segment_c,0.13,2600
2024-02-15,segment_a,0.115,4200
2024-02-15,segment_b,0.102,3100
2024-02-15,segment_c,0.128,2600
2024-02-16,segment_a,0.113,4200
2024-02-16,segment_b,0.1,3100
2024-02-16,segment_c,0.126,2600
2024-02-17,segment_a,0.111,4200
2024-02-17,segment_b,0.098,3100
2024-02-17,segment_c,0.124,2600
2024-02-18,segment_a,0.109,4200
2024-02-18,segment_b,0.096,3100
2024-02-18,segment_c,0.122,2600
2024-02-19,segment_a,0.121,4200
2024-02-19,segment_b,0.108,3100
2024-02-19,segment_c,0.134,2600
2024-02-20,segment_a,0.119,4200
2024-02-20,segment_b,0.106,3100
2024-02-20,segment_c,0.132,2600
2024-02-21,segment_a,0.117,4200
2024-02-21,segment_b,0.104,3100
2024-02-21,segment_c,0.13,2600
2024-02-22,segment_a,0.115,4200
2024-02-22,segment_b,0.102,3100
2024-02-22,segment_c,0.128,2600
2024-02-23,segment_a,0.113,4200
2024-02-23,segment_b,0.1,3100
2024-02-23,segment_c,0.126,2600
2024-02-24,segment_a,0.111,4200
2024-02-24,segment_b,0.098,3100
2024-02-24,segment_c,0.124,2600
2024-02-25,segment_a,0.109,4200
2024-02-25,segment_b,0.096,3100
2024-02-25,segment_c,0.122,2600
2024-02-26,segment_a,0.121,4200
2024-02-26,segment_b,0.108,3100
2024-02-26,segment_c,0.134,2600
2024-02-27,segment_a,0.119,4200
2024-02-27,segment_b,0.106,3100
2024-02-27,segment_c,0.132,2600
2024-02-28,segment_a,0.117,4200
2024-02-28,segment_b,0.104,3100
2024-02-28,segment_c,0.13,2600
2024-02-29,segment_a,0.115,4200
2024-02-29,segment_b,0.102,3100
2024-02-29,segment_c,0.128,2600
2024-03-01,segment_a,0.113,4200
2024-03-01,segment_b,0.1,3100
2024-03-01,segment_c,0.126,2600
2024-03-02,segment_a,0.111,4200
2024-03-02,segment_b,0.098,3100
2024-03-02,segment_c,0.124,2600
2024-03-03,segment_a,0.109,4200
2024-03-03,segment_b,0.096,3100
2024-03-03,segment_c,0.122,2600
2024-03-04,segment_a,0.121,4200
2024-03-04,segment_b,0.108,3100
2024-03-04,segment_c,0.134,2600
2024-03-05,segment_a,0.119,4200
2024-03-05,segment_b,0.106,3100
2024-03-05,segment_c,0.132,2600
2024-03-06,segment_a,0.117,4200
2024-03-06,segment_b,0.104,3100
2024-03-06,segment_c,0.13,2600
2024-03-07,segment_a,0.115,4200
2024-03-07,segment_b,0.102,3100
2024-03-07,segment_c,0.128,2600
2024-03-08,segment_a,0.113,4200
2024-03-08,segment_b,0.1,3100
2024-03-08,segment_c,0.126,2600
2024-03-09,segment_a,0.111,4200
2024-03-09,segment_b,0.098,3100
2024-03-09,segment_c,0.124,2600
2024-03-10,segment_a,0.109,4200
2024-03-10,segment_b,0.0632,3100
2024-03-10,segment_c,0.122,2600
